,frequency
he wants to go,2
ve got other,2
time to think and,2
ve got plenty,2
understand that opening heavy,2
see this,2
between us anytime soon,2
between us,2
understand that might worry,2
time to stop france,2
he was supporting,2
most of their,2
this turn if,2
this turn to,2
fuller,2
you are clearly going,2
don know where,2
get there easier,2
it look like,2
big plans for this,2
if we all die,2
really have the opportunity,2
some guys behind,2
he was with me,2
is more likely to,2
ve completely backed,2
ve completely backed off,2
pru sil,2
he was upset about,2
you are being,2
it looks like austria,2
this turn ig,2
some headway into,2
need to be,2
from denmark,2
it looks like was,2
understand that might,2
really just,2
so far this,2
need support,2
don support me to,2
better to go in,2
more fun and it,2
not sure that would,2
is little past,2
don think,2
protection,2
really make that,2
more fun and,2
really make that pay,2
really matter,2
some of us still,2
hey england,2
better strategic,2
so fast,2
really mean it,2
not me heard anything,2
don think italy,2
some point,2
not me heard,2
it not going anywhere,2
of the things,2
hey man wanted to,2
better off using the,2
is looking little worrying,2
don support,2
this stuff,2
it much thought,2
he very good,2
more if youre willing,2
if we attack mao,2
is lying to,2
providing the,2
most of this,2
taking portugal,2
so for,2
bul rum,2
provided russia with,2
more how to,2
understand my,2
understand little more how,2
really know when if,2
he told secret that,2
it more question of,2
some miraculous england,2
time we didnt finish,2
to one or,2
if the guy was,2
proves to,2
don stand chance,2
game or from another,2
put us,2
an extremely,2
though but with the,2
threat unless you pull,2
up on france so,2
get slow,2
so that exactly,2
if they re,2
so that gets,2
more viable,2
bounce you out of,2
re worried about jugg,2
if they re not,2
unless you want some,2
needed sleep and dream,2
of this way union,2
is supposed to be,2
rationalization was that the,2
bounce wasn,2
reach out to england,2
up re mar,2
rational perspective about leaving,2
unless you re able,2
rational perspective,2
to persuade enland to,2
bounce them you can,2
more useful to you,2
moscow sevastopol,2
help me out we,2
is why id,2
is place,2
threats to me right,2
three italian dots,2
not paying,2
not partial either way,2
through the north,2
is telling me,2
continue to push,2
needed to be in,2
to peak italy away,2
from getting those scs,2
is what im gonna,2
is what is,2
do to make,2
is why hoped to,2
threats to,2
box,2
if they play it,2
bud gal tyr boh,2
threatens war with,2
bud next turn if,2
bouncing in bul,2
moscow on,2
bouncing helps you out,2
bouncing helps you,2
threatening than,2
threat to both,2
is your relationship,2
bounce out of denmark,2
up to and,2
isn my,2
isn my intention,2
do you,2
do you and,2
rather guess wrong and,2
that cant focus on,2
up this year,2
get solo victory so,2
thoughts are but in,2
rather greedy,2
continue our demilitarization,2
so they lied to,2
bounce out of,2
up to be,2
bother england,2
if they tried to,2
need you supporting,2
build and getting,2
both you and me,2
is something doubt they,2
full split,2
build and you,2
both went after,2
need you,2
isn in position to,2
do yet,2
thoughts going,2
isn going to be,2
bounce out,2
bounce on munich allayed,2
help his along to,2
help his,2
up some,2
reached out about working,2
rather they,2
rather than try to,2
do indeed have to,2
do indeed have,2
budapest otherwise you,2
do in an,2
is stable now,2
is stable,2
is stabbing me,2
needed breathing room,2
rather support you,2
do have your permission,2
so its not going,2
need your support for,2
need your support,2
isn bad but you,2
do have lives,2
do it would have,2
is we continue,2
up in favor of,2
help with,2
not playing like he,2
brest by an army,2
north sea it will,2
british is,2
help with something,2
help with england,2
so nothing,2
if they do,2
re right about the,2
help with anything,2
re looking to draw,2
help will go,2
the builds of only,2
help while can still,2
for the following year,2
of thinking,2
continue your attack on,2
is too strong,2
up appearances,2
see you push france,2
break up italy and,2
is true and that,2
break through the balkans,2
for the full ride,2
re more amenable to,2
do tbh,2
to partner is,2
is the,2
is the time to,2
is there any reason,2
until russia,2
analysis of,2
through during,2
re on either side,2
bring my,2
help you diplomatically with,2
if they dont take,2
mos stp because that,2
briefly and the,2
is the most popular,2
do something about,2
through either you or,2
help you out in,2
full ride,2
game have,2
until we push out,2
through gal,2
of this exercise,2
mos sev war ukr,2
unusual move set,2
do tactical,2
is true for you,2
re so,2
moscow more,2
bre rather than,2
so maybe,2
so many lies,2
help to push,2
help to keep germany,2
so many,2
unsubtle for you,2
so lucky,2
do lepanto,2
three potentially,2
do last season,2
that hold trieste,2
for the good,2
re so against,2
re either vulnerable to,2
helping you into,2
so look im at,2
not really trying to,2
bre and swe,2
bre and par units,2
of this id,2
help stamp out russia,2
see you re on,2
continue to push and,2
is vulnerable,2
breach,2
breach so,2
three way draw in,2
breach ve checked,2
is that think need,2
re in the mood,2
so maybe with bunch,2
re in ruhr and,2
re in ruhr,2
through it so,2
do that wouldnt,2
is that so,2
re still,2
not really sure what,2
is two,2
helpful there,2
help us get some,2
break non aggression with,2
through message sharing,2
of thing,2
if they ll go,2
not really they re,2
needs dealt with,2
needs dealt,2
game in winter,2
help us,2
re suggesting walking,2
build and you likely,2
is something,2
need whatever help from,2
question on the sarcasm,2
taking mao,2
hel den,2
does this maybe we,2
an important lesson,2
it better,2
neither nao nor,2
us has to,2
is pulling,2
so ya ll,2
moseying out of italy,2
build northern fleet,2
question on the,2
is preventing kiel,2
it both,2
time and effort than,2
units currently set to,2
it bullshit that,2
that offered,2
doesn change direction,2
build phase ever,2
build phase ever but,2
need to protect your,2
not so much turkey,2
and ask if,2
get ready for jog,2
so ill,2
does that,2
so ill probably,2
to piedmont if,2
real plan,2
quickly or,2
get that you are,2
borders very,2
is really good player,2
though what are,2
build in winter to,2
real plan has us,2
it basically,2
does seem,2
till the next,2
need to send,2
border will,2
border people,2
quickly and,2
quick to get it,2
it because,2
not so easy,2
hel den kie lvn,2
hel den kie,2
get real,2
does suspect,2
not offering,2
is preventing,2
quickly snowball,2
solid,2
here what time zone,2
that both are,2
need to knock,2
here you,2
doesn typically try to,2
solely focused on,2
and at least,2
puts the british,2
though had to just,2
more rounds see them,2
heard from italy you,2
really am,2
so if you head,2
puts,2
put your name publicly,2
put your name,2
solid all ears,2
that border will make,2
need to hold in,2
heard from germany,2
though find,2
need to hold,2
build there,2
really am curious,2
most italians just start,2
see where austria,2
of turns,2
it convoys,2
so if you,2
do bounce,2
is pretty much always,2
boh supporting,2
it came,2
get pretty wrecked,2
so you want to,2
of their fleets,2
heavily committed to my,2
realized don think supposed,2
heavily committed,2
hearing some ideas about,2
us take better,2
do blue water lepanto,2
realized it was too,2
realized that,2
of turning on,2
is possibility as is,2
you you are,2
that plays out we,2
putting in more time,2
it convincing,2
most italians,2
us but we could,2
it at this point,2
not right now no,2
both munich and berlin,2
contesting it,2
is significant,2
do for them to,2
both of those units,2
full anyway so,2
do for them,2
not saying that you,2
quotes from italy that,2
if they are back,2
not one to look,2
so it can,2
here is english,2
so we can coordinate,2
build fleet in,2
issues with them attacking,2
build fleet in mar,2
it after some success,2
it again,2
of trouble,2
it again in the,2
to our friends in,2
do you think the,2
do you think there,2
build fleet there and,2
up whole bunch of,2
raised the idea with,2
do you still,2
context,2
so it no big,2
is somehow,2
from getting any,2
more to gain,2
up to you to,2
north sea that now,2
of thought on what,2
up toward the end,2
get some aid against,2
if they aren,2
context was very,2
ran those other moves,2
ran those,2
unless austria or,2
see your message,2
to our mutual benefit,2
both pretty talkative,2
help after the initial,2
help after the,2
full attention,2
do for work and,2
need to worry,2
need to watch what,2
youitaly has,2
quite scary and austria,2
quickly snowball into scandinavia,2
quiet at this,2
real here though russia,2
quietly slip,2
need to start,2
you bad,2
helgoland holland north,2
real here you,2
real here you and,2
real name,2
thought about it,2
here talking,2
does indeed,2
of turkey,2
quite scary and,2
build in the irish,2
build in trieste,2
and are past the,2
build in trieste cannot,2
is responsive enough,2
do either of,2
quickly then mos,2
though wish,2
does it really matter,2
us both,2
of turkey is,2
quietly slip the knife,2
get real coalition of,2
content with mutual,2
it and then,2
game germany is,2
do figured,2
so we don need,2
quite nervous about russia,2
so we have,2
if there was anything,2
takes it from tyr,2
it an fg which,2
that play in the,2
so we move,2
do expect my,2
build house out of,2
both can gain from,2
both but you never,2
real hard,2
both border people who,2
upset with me so,2
need to support,2
is running at,2
of trust in,2
of trust in you,2
build in kiel,2
build in kiel and,2
bump that,2
bump that probably,2
but ill work,2
smyrna moving units away,2
been happy,2
italy slow until,2
prefer to waive,2
prefer to use,2
about what information,2
italy so assumed he,2
italy so far,2
about what he was,2
mistake and not one,2
convoy an,2
get you some,2
sounding,2
italy should be losing,2
regardless it too,2
seems,2
italy takes,2
didnt see your,2
italy takes most of,2
about what he,2
nasty approach,2
of the countries on,2
prefer tell him,2
prefer tell,2
move because,2
italy slow,2
italy should,2
not just sitting here,2
prepared for,2
him into leaving,2
italy offered not to,2
nation would be beneficial,2
sort of peaceful arrangement,2
yet think ill wait,2
yet think,2
wanted to push,2
wanted to push him,2
wanted to put,2
the decision,2
prepared for the,2
friendly terms,2
is always better off,2
the decision and,2
haven lied,2
but england,2
two fleet germany is,2
italy reiterated,2
is an italian withdrawal,2
not less likely than,2
drive,2
him not doing it,2
two english,2
think you actually,2
never attack,2
sounds good ill grab,2
haven,2
think we agree to,2
predicament was,2
precedent for you negotiating,2
think we can make,2
and dream about your,2
italy who,2
precarious,2
him that maybe you,2
irrational to,2
to norwegian if,2
missed my,2
him that my win,2
italy working,2
war boh if,2
italy working with,2
seems an,2
irony that the,2
irony that,2
irony,2
didn think you were,2
have written,2
to put fleet,2
talk about me,2
south and,2
south and germany,2
not know me,2
italy vs turkey,2
that soon to,2
think we dont,2
italy the,2
but fuck you,2
