,frequency
we convince russia to,1
well moving away at,1
we convince russia,1
we convince,1
we ceased communications,1
well not,1
we ceased,1
we could potentially,1
we could start,1
we have number,1
we could start thinking,1
we have conversation at,1
we have conversation,1
we have,1
we give up what,1
we give up,1
we give,1
we don have to,1
we don have,1
we don,1
we didnt,1
we deal with the,1
we deal with,1
we deal,1
we could still work,1
we could still,1
we re both,1
we re seeing,1
was thinking ber,1
week so havent,1
week,1
wed be so lucky,1
wed be so,1
wed be,1
wed,1
weak england is strong,1
weak england is,1
weak england,1
weak,1
we would like to,1
we would like,1
we would just stagnate,1
we would just,1
we would,1
we work together and,1
week so,1
week so havent been,1
we work,1
weekend,1
well can,1
well bot is probably,1
well bot is,1
well bot,1
well be honest with,1
well be honest,1
well be,1
well and push westwards,1
well if,1
well and,1
well,1
weird,1
weekend hard for me,1
weekend hard for,1
weekend hard,1
we work together,1
we will need whatever,1
we re seeing here,1
we split him up,1
we split,1
well if that,1
we should work,1
we should continue to,1
we should continue,1
we should,1
we share all info,1
we share all,1
we share,1
we said let revisit,1
we said let,1
we said,1
we resolved that little,1
we resolved that,1
we resolved,1
we split him,1
we squash,1
we will need,1
we squash them,1
we will,1
we were to follow,1
we were to,1
we were no longer,1
we were no,1
we were,1
we went out for,1
we went out,1
we went for the,1
we went for,1
we went,1
we ve been walking,1
we ve been,1
we ve,1
we squash them ill,1
we cant do it,1
we cant do,1
we cant,1
way don think,1
way conversation mean thats,1
way conversation mean,1
way conversation,1
way and to organize,1
way and to,1
way and,1
way am offering you,1
way am offering,1
way am,1
way,1
water lepanto,1
water,1
watch your back at,1
watch your back,1
watch your,1
way don,1
way don think you,1
waste units one in,1
way forward,1
way out,1
way more useful to,1
way more useful,1
way more strength to,1
way more strength,1
way more,1
way italy moves and,1
way italy moves,1
way italy,1
way it did but,1
way it did,1
way it,1
way forward it with,1
way forward it,1
well russia had the,1
watch,1
waste units one,1
we can work together,1
well sounds like,1
was worried,1
was willing to give,1
was willing to,1
was willing,1
was trustworthy england is,1
was trustworthy england,1
was trustworthy,1
was told you were,1
was told you,1
was told,1
was thinking that am,1
was thinking that,1
was thinking denmark could,1
was thinking denmark,1
was thinking ber sil,1
well sounds like we,1
was you,1
waste units,1
well sounds,1
waste,1
wasn willing to work,1
wasn willing to,1
wasn willing,1
well so,1
well so that,1
wasn the,1
wasn terribly coherent and,1
wasn terribly coherent,1
wasn terribly,1
wasn planning on fighting,1
wasn planning on,1
well so that comforting,1
wasn,1
was you and turkey,1
way out of,1
way out of position,1
well russia had,1
we can pressure,1
we can nip,1
we can keep talking,1
we can keep,1
we can get,1
we can do to,1
we can do,1
we can disband pru,1
we can disband,1
we can both attack,1
we can both,1
we can be good,1
we can be,1
we can attack russia,1
well not easy,1
we can,1
we can nip france,1
we can pressure that,1
way possible,1
we can still,1
we can work from,1
we can work,1
we can think about,1
we can think,1
we can talk about,1
we can talk,1
we can take them,1
we can take,1
we can swing the,1
we can swing,1
we can support eachother,1
we can support,1
we can stop them,1
we can stop,1
we can still be,1
well not easy right,1
we both net,1
we both have the,1
we both have,1
way victory than,1
way victory,1
way to while away,1
way to while,1
way to ion with,1
way to ion,1
way to approach it,1
way to approach,1
way to,1
way the pieces moved,1
way the pieces,1
way the,1
way see it happening,1
way see it,1
way see,1
way victory than way,1
we,1
we agree,1
we are indeed fighting,1
we both are at,1
well russia,1
we both,1
we aren steamrolled by,1
we aren steamrolled,1
we aren,1
we are indeed,1
we agree on,1
we are,1
we agreed on new,1
we agreed on,1
we agreed,1
we agree on the,1
we agree on peace,1
went for the,1
went for the one,1
very much,1
two things is going,1
two things,1
were in,1
were in tough,1
two of you,1
two of them have,1
two of them,1
two of,1
two fleets would be,1
two fleets would,1
two fleets,1
two either way,1
two either,1
two birds with one,1
two birds with,1
two birds,1
two things is,1
two way,1
two armies move,1
two way conversation,1
tyr this,1
tyr mun boh this,1
tyr mun boh,1
tyr mun,1
tyr for this year,1
were going to easily,1
tyr for this,1
tyr for,1
tyr,1
two years if hand,1
were going to go,1
two years if,1
two years,1
two way victory,1
were going west,1
two armies move east,1
two armies,1
tyr this turn not,1
turn with the,1
turn will work best,1
turn will work,1
turn will,1
turn which would make,1
turn which would,1
turn which,1
turn when austria takes,1
turn when austria,1
turn when,1
turn was you and,1
turn was you,1
turn was,1
turn that austria is,1
turn that austria,1
turn that,1
turn with,1
turn with the army,1
two,1
turn you,1
tus rom tys ion,1
tus rom tys,1
tus rom,1
were in tough fucking,1
tus,1
turns out if you,1
turns out if,1
turns out,1
turns,1
turning to crush him,1
turning to crush,1
turning to,1
turning,1
turn you should have,1
turn you should,1
tyr this turn,1
tyr tun,1
unit hes annoyingly,1
understand england is in,1
understand england,1
understand,1
under threat just don,1
under threat just,1
under threat,1
under,1
uncomfortable with that you,1
uncomfortable with that,1
uncomfortable with,1
uncomfortable,1
uncertainty east of me,1
uncertainty east of,1
were going to,1
uncertainty,1
unable to become threat,1
understand england is,1
were going,1
unable to,1
understand that,1
unit,1
unfortunately,1
understanding and hope you,1
understanding and hope,1
understanding and,1
understanding,1
understand your hesitation to,1
understand your hesitation,1
understand your,1
understand why you might,1
understand why you can,1
understand why you,1
understand why,1
understand that opening heavy,1
understand that opening,1
unable to become,1
unable,1
tyr tun tys,1
tys lyo if you,1
tys lyo,1
tys ion tus rom,1
tys ion tus,1
tys ion think munich,1
tys ion think,1
tys ion,1
tys,1
tyrolia in their defense,1
tyrolia in their,1
tyrolia in,1
tyrolia can support that,1
tyrolia can support,1
tyrolia can,1
tyrolia,1
tyr tun tys ion,1
tys lyo if,1
tys tys,1
um think thats horrible,1
tys tys lyo,1
um think thats,1
um think,1
um,1
ultimately long term threat,1
ultimately long term,1
ultimately long,1
ultimately,1
ukraine again makes more,1
ukraine again makes,1
ukraine again,1
ukraine,1
ukr war,1
ukr,1
uk,1
tys tys lyo if,1
turn on the other,1
turn on the,1
turn on austria,1
turkey into moscow,1
turkey if you re,1
turkey if you,1
turkey if,1
turkey down to manageable,1
turkey down to,1
turkey down,1
turkey did you mean,1
turkey did you,1
turkey did,1
turkey austria alliance cuts,1
were looking to hedgehog,1
turkey austria alliance,1
turkey austria,1
turkey are acting cagey,1
turkey are acting,1
turkey into,1
turkey into moscow this,1
turkey against russia open,1
turkey is,1
turkey of course is,1
turkey of course,1
turkey of,1
were lobbying for him,1
turkey needs to,1
turkey needs,1
were looking,1
turkey know that you,1
turkey know that,1
were looking to,1
turkey know,1
turkey is working russia,1
turkey is working,1
turkey is now working,1
turkey is now,1
turkey are,1
turkey against russia,1
turn on,1
trying to work,1
trying to stab,1
were no longer,1
trying to sow distrust,1
trying to sow,1
trying to see if,1
were no longer allied,1
trying to push russia,1
trying to push,1
were no longer allies,1
trying to point,1
trying to figure out,1
trying to figure,1
were speaking,1
trying to avoid is,1
trying to avoid,1
trying to stab germany,1
trying to work it,1
turkey against,1
tun,1
turkey about attacking me,1
were no,1
turkey about attacking,1
turkey about,1
turkey,1
tunis this year is,1
tunis this year,1
tunis this,1
tunis is great call,1
tunis is great,1
tunis is,1
tunis,1
tun tys ion tus,1
tun tys ion,1
tun tys,1
turkey or,1
turkey or both,1
turkey or both took,1
turn and have,1
turn,1
turks is sucker bet,1
turks is sucker,1
turks is,1
turks have no reason,1
turks have no,1
turks have,1
turks decide to take,1
turks decide to,1
turks decide,1
turks and just about,1
turks and just,1
turks and,1
turks,1
turkish mess,1
turn and,1
turn and have strong,1
turkey shenanigans,1
turn and if,1
turn not as move,1
turn not as,1
turn not,1
turn my moving out,1
turn my moving,1
turn my,1
turn im sorry,1
turn im,1
turn ig,1
turn good to see,1
turn good to,1
turn good,1
turn and italy agreed,1
turn and italy,1
turn and if she,1
turkish build,1
turkish,1
turkey working together and,1
turkey working together,1
turkey to move to,1
turkey to move,1
turkey to,1
were in your shoes,1
turkey supply centers,1
were lobbying,1
turkey supply,1
were lobbying for,1
turkey so they re,1
turkey so they,1
turkey so do you,1
turkey so do,1
turkey so,1
turkey shenanigans around bulgaria,1
turkey shenanigans around,1
turkey to try,1
turkey to try and,1
turkey very,1
turkey while also,1
turkey working,1
turkey within year or,1
turkey within year,1
turkey within,1
turkey while away,1
turkey while also taking,1
turkey while,1
turkey very quickly,1
turkey we were no,1
turkey we were,1
turkey we could start,1
turkey we could,1
were in your,1
turkey we,1
unit hes,1
unit or,1
very long most likely,1
use ruh and bur,1
went to,1
use on austria second,1
went to such,1
went to such lengths,1
use it however it,1
use it however,1
use it,1
use is it to,1
use is it,1
went wrong,1
use,1
us you me and,1
us you me,1
us you,1
us working together or,1
went out for dinner,1
used,1
us working,1
used to,1
usually france,1
usually,1
usefulness of getting italy,1
usefulness of getting,1
usefulness of,1
usefulness,1
useful to you if,1
useful to you and,1
useful to you,1
useful to us,1
useful to,1
useful,1
used to the female,1
used to the,1
went out for,1
us working together,1
us to work together,1
usually france is busy,1
went wrong yeah guess,1
were,1
were being,1
us by,1
us bit,1
us being able to,1
us being able,1
us being,1
us,1
upside is just that,1
upside is just,1
upside is,1
upside,1
upset him,1
upset,1
up your recruitment forum,1
us can,1
us can afford is,1
us to work,1
us gets,1
went wrong yeah,1
us to start,1
us to fight,1
us to consider is,1
us to consider,1
us to be friends,1
us to be,1
us to,1
us talking,1
us outgunned at sea,1
us outgunned at,1
us outgunned,1
us out,1
us last,1
us gets bamboozled,1
usually france is,1
vacate,1
unit or at,1
ven sev,1
ven pie and,1
ven pie,1
ven,1
ve won but at,1
ve won but,1
ve won,1
ve subdued france bit,1
ve subdued france,1
ve subdued,1
ve spent the day,1
ve spent the,1
ve spent,1
ve shrunk turkey down,1
ve shrunk turkey,1
ve shrunk,1
ven pie and then,1
ven sev all,1
ve set this,1
ven sev all attainable,1
very long most,1
very long,1
very different dialects of,1
very different dialects,1
very different,1
very concerned about trieste,1
very concerned about,1
very concerned,1
very bold move by,1
very bold move,1
very bold,1
very,1
ven tri apu ven,1
ven tri apu,1
ven tri,1
ve set this game,1
ve set,1
vacate it,1
ve demonstrated that reliable,1
ve demonstrated,1
ve been walking past,1
ve been walking,1
ve been talking to,1
ve been talking,1
ve been happy to,1
ve been happy,1
ve been asking austria,1
ve been asking,1
ve been,1
ve,1
vacates bohemia,1
vacates,1
vacate it to you,1
vacate it to,1
ve demonstrated that,1
ve got,1
ve reached out to,1
ve got some,1
ve reached out,1
ve reached,1
ve raised the idea,1
ve raised the,1
ve raised,1
ve put yourself way,1
ve put yourself,1
ve put,1
ve pieced together starting,1
ve pieced together,1
ve pieced,1
ve only delayed the,1
ve only delayed,1
ve only,1
went out,1
up your recruitment,1
up your,1
up with the russo,1
until he,1
until get things,1
until get,1
until austria decides to,1
until austria decides,1
until austria,1
until,1
unless were speaking very,1
unless were speaking,1
unless were,1
unless we agreed on,1
unless we agreed,1
unless we,1
were done,1
unless russia you and,1
unless russia you,1
until get things squared,1
until he can,1
unless he was in,1
until he can put,1
up and would expect,1
up and would,1
up and,1
up,1
until they know who,1
until they know,1
until they,1
until sunday night to,1
until sunday night,1
until sunday,1
until russia or turkey,1
until russia or,1
until russia,1
until next year,1
until next,1
were done for,1
unless he was,1
up with the move,1
units if you,1
